Date,Price,Type
2012-12-17,2163.25,Historical
2012-12-18,2080.5,Historical
2012-12-19,2072.5,Historical
2012-12-20,2031.75,Historical
2012-12-21,2035.25,Historical
2012-12-24,2045.25,Historical
2012-12-25,2043.25,Historical
2012-12-26,2043.25,Historical
2012-12-27,2043.25,Historical
2012-12-28,2030.5,Historical
2012-12-31,2039.75,Historical
2013-01-01,2093.25,Historical
2013-01-02,2093.25,Historical
2013-01-03,2108.25,Historical
2013-01-04,2055.5,Historical
2013-01-07,2004.75,Historical
2013-01-08,2026.75,Historical
2013-01-09,2061.25,Historical
2013-01-10,2074.25,Historical
2013-01-11,2076.75,Historical
2013-01-14,2062.25,Historical
2013-01-15,2002.25,Historical
2013-01-16,1990.75,Historical
2013-01-17,2003.25,Historical
2013-01-18,2021.25,Historical
2013-01-21,2000.75,Historical
2013-01-22,2008.75,Historical
2013-01-23,2047.25,Historical
2013-01-24,2026.75,Historical
2013-01-25,2042.25,Historical
2013-01-28,2042.25,Historical
2013-01-29,1997.5,Historical
2013-01-30,2046.25,Historical
2013-01-31,2073.25,Historical
2013-02-01,2055.75,Historical
2013-02-04,2078.5,Historical
2013-02-05,2074.75,Historical
2013-02-06,2059.25,Historical
2013-02-07,2065.75,Historical
2013-02-08,2066.25,Historical
2013-02-11,2075.75,Historical
2013-02-12,2059.25,Historical
2013-02-13,2087.25,Historical
2013-02-14,2114.5,Historical
2013-02-15,2122.75,Historical
2013-02-18,2122.75,Historical
2013-02-19,2075.25,Historical
2013-02-20,2075.25,Historical
2013-02-21,2046.75,Historical
2013-02-22,2024.25,Historical
2013-02-25,2003.75,Historical
2013-02-26,1970.75,Historical
2013-02-27,1971.5,Historical
2013-02-28,1959.75,Historical
2013-03-01,1914.25,Historical
2013-03-04,1926.75,Historical
2013-03-05,1942.75,Historical
2013-03-06,1927.5,Historical
2013-03-07,1910.25,Historical
2013-03-08,1926.75,Historical
2013-03-11,1895.25,Historical
2013-03-12,1938.75,Historical
2013-03-13,1945.25,Historical
2013-03-14,1937.75,Historical
2013-03-15,1943.5,Historical
2013-03-18,1895.25,Historical
2013-03-19,1902.25,Historical
2013-03-20,1905.25,Historical
2013-03-21,1901.5,Historical
2013-03-22,1905.5,Historical
2013-03-25,1898.25,Historical
2013-03-26,1890.25,Historical
2013-03-27,1867.25,Historical
2013-03-28,1881.25,Historical
2013-03-29,1861.5,Historical
2013-04-01,1861.5,Historical
2013-04-02,1861.5,Historical
2013-04-03,1845.25,Historical
2013-04-04,1833.25,Historical
2013-04-05,1844.75,Historical
2013-04-08,1865.25,Historical
2013-04-09,1858.25,Historical
2013-04-10,1877.75,Historical
2013-04-11,1855.25,Historical
2013-04-12,1840.75,Historical
2013-04-15,1803.75,Historical
2013-04-16,1860.5,Historical
2013-04-17,1855.25,Historical
2013-04-18,1873.5,Historical
2013-04-19,1871.25,Historical
2013-04-22,1840.75,Historical
2013-04-23,1858.25,Historical
2013-04-24,1870.75,Historical
2013-04-25,1882.75,Historical
2013-04-26,1889.75,Historical
2013-04-29,1846.25,Historical
2013-04-30,1846.25,Historical
2013-05-01,1788.25,Historical
2013-05-02,1802.5,Historical
2013-05-03,1827.5,Historical
2013-05-06,1841.0,Historical
