Date,P5,P50,P95
2024-11-26,686.1423585445909,923.9143276781924,1163.8341299170631
2024-11-27,690.5920447831226,925.0694368383575,1164.488771787156
2024-11-28,677.6403764897977,920.7220380419051,1161.9799999147717
2024-11-29,682.9709626026356,922.4988183914609,1165.0079889471995
2024-12-02,677.1416925422438,921.3232100211889,1164.4920127450087
2024-12-03,678.7635173593977,921.7035223921023,1163.225811160392
2024-12-04,676.2774032187424,921.2264618035624,1164.2987897035596
2024-12-05,678.9618932324362,919.0734204841494,1164.3375461600458
2024-12-06,676.8943675518134,918.7404420176598,1161.2873312277336
2024-12-09,681.6895884092262,917.7709347151933,1170.0926900163201
2024-12-10,678.2341198219855,919.6169748285097,1171.5072935866108
2024-12-11,679.3161239464481,920.843863831835,1169.2725865689824
2024-12-12,674.0714578313925,917.1029384280841,1167.7213677678915
2024-12-13,686.7724368290268,917.2797168522552,1166.8464180032627
2024-12-16,680.219969884631,915.7614190152483,1173.192549869287
2024-12-17,682.997577356589,917.1052568631808,1172.7176491866078
2024-12-18,677.6485903863639,919.2351740873193,1169.4074603800527
2024-12-19,683.4198829327398,920.2336930875948,1169.1655868295816
2024-12-20,682.8579972317909,921.093793926364,1172.130911476672
2024-12-23,677.1154005170343,922.6300442802063,1177.8305630123027
2024-12-24,675.6897244153611,920.2844723952206,1184.8663121978122
2024-12-25,672.470623878147,917.4876924437035,1180.8677918248295
2024-12-26,674.9224726942246,917.9011572885322,1173.5151066001824
2024-12-27,675.7924642737142,919.7746812750007,1173.3730473004252
2024-12-30,675.1690933024988,918.7487445523152,1174.459929466332
2024-12-31,682.78291366894,919.0745993040343,1175.9609519600892
2025-01-01,680.6387612275548,919.4337176067422,1170.295884510062
2025-01-02,677.1741483491085,921.5471770809661,1173.7253220319535
2025-01-03,673.2523486801837,921.1408328129666,1175.6525761808218
2025-01-06,669.9737889180335,921.7742338990902,1178.2484222449596
2025-01-07,666.9295627227083,922.9127823208003,1177.0096923618082
2025-01-08,667.9870870742686,920.8200841567827,1181.8957612289717
2025-01-09,670.9463976252099,923.119628885275,1177.3516300937088
2025-01-10,669.5546353879067,919.2620987630874,1185.067908167494
2025-01-13,670.3253415222331,919.8602924858181,1182.7536027137085
2025-01-14,669.4006460975893,917.0153052564436,1187.9868698548307
